trait,umbrella,agreement,flag,claude,gpt5,gemini,deepseek,grok
live vaccination,Live Vaccination,5/5,🟢,Live Vaccination,Live Vaccination,Live Vaccination,Live Vaccination,Live Vaccination
live vaccine,Live Vaccination,5/5,🟢,Live Vaccination,Live Vaccination,Live Vaccination,Live Vaccination,Live Vaccination
liver enzymes,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
liver function,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
mds/aml,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
mrd status,MRD Status,5/5,🟢,MRD Status,MRD Status,MRD Status,MRD Status,MRD Status
maintenance therapy history,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
major surgery,Prior Surgery,5/5,🟢,Prior Surgery,Prior Surgery,Prior Surgery,Prior Surgery,Prior Surgery
malabsorption syndromes,Gastrointestinal Function,5/5,🟢,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function
male contraception,Contraception Requirements,5/5,🟢,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements
male contraception compliance,Contraception Requirements,5/5,🟢,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements
measurable disease,Measurable Disease,5/5,🟢,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease
medical/psychiatric conditions,Neurological/Psychiatric Conditions,4/5,🟢,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Intercurrent Illness,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions
metastatic disease,Metastatic Disease Status,5/5,🟢,Metastatic Disease Status,Metastatic Disease Status,Metastatic Disease Status,Metastatic Disease Status,Metastatic Disease Status
metastatic or locally recurrent gastro-oesophageal cancer,Metastatic Disease Status,3/5,🟡,Disease Stage,Metastatic Disease Status,Metastatic Disease Status,Diagnosis Confirmation,Metastatic Disease Status
minimal pleural effusion eligibility,Pleural/Pericardial Effusion,5/5,🟢,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion
mixed histology,Tumor Histology,5/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology
mixed tumor histology,Tumor Histology,5/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology
monoclonal antibody hypersensitivity,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
n2 node sampling,Mediastinal/Lymph Node Staging,5/5,🟢,Mediastinal/Lymph Node Staging,Mediastinal/Lymph Node Staging,Mediastinal/Lymph Node Staging,Mediastinal/Lymph Node Staging,Mediastinal/Lymph Node Staging
nsclc histology,Tumor Histology,5/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology
nsclc histology/cytology confirmation,Diagnosis Confirmation,5/5,🟢,Diagnosis Confirmation,Diagnosis Confirmation,Diagnosis Confirmation,Diagnosis Confirmation,Diagnosis Confirmation
nsclc resection status,Surgical Resectability/Status,5/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
nsclc stage,Disease Stage,5/5,🟢,Disease Stage,Disease Stage,Disease Stage,Disease Stage,Disease Stage
negative pregnancy test within 14 days,Pregnancy/Lactation Status,5/5,🟢,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status
neoadjuvant radiotherapy,Prior Radiotherapy,4/5,🟢,Prior Radiotherapy,Adjuvant/Neoadjuvant Therapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
neoadjuvant/adjuvant therapy history,Adjuvant/Neoadjuvant Therapy,5/5,🟢,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy
neurological/psychiatric disorders,Neurological/Psychiatric Conditions,5/5,🟢,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions
no egfr mutation or alk fusion,Actionable Genomic Alterations,3/5,🟡,Actionable Genomic Alterations,EGFR Mutation Status,Actionable Genomic Alterations,Actionable Genomic Alterations,ALK Mutation Status
no evidence of stage iv,Disease Stage,5/5,🟢,Disease Stage,Disease Stage,Disease Stage,Disease Stage,Disease Stage
no evidence of distant metastases (by fdg pet/ct),Metastatic Disease Status,5/5,🟢,Metastatic Disease Status,Metastatic Disease Status,Metastatic Disease Status,Metastatic Disease Status,Metastatic Disease Status
non-healing wounds,Wound Healing,5/5,🟢,Wound Healing,Wound Healing,Wound Healing,Wound Healing,Wound Healing
non-malignant pleural effusion status,Pleural/Pericardial Effusion,5/5,🟢,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion
non-squamous nsclc histology,Tumor Histology,5/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology
nucleoside analog treatment,Specific Prior Treatment Agents,3/5,🟡,Specific Prior Treatment Agents,Prior Systemic Therapy,Specific Prior Treatment Agents,Hepatitis B/C Status,Specific Prior Treatment Agents
organ and marrow function,Organ Function,5/5,🟢,Organ Function,Organ Function,Organ Function,Organ Function,Organ Function
organ function,Organ Function,5/5,🟢,Organ Function,Organ Function,Organ Function,Organ Function,Organ Function
organ transplant,Transplant History,5/5,🟢,Transplant History,Transplant History,Transplant History,Transplant History,Transplant History
other active malignancy,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
other driver oncogenes,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
other malignancy,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
other primary malignancy,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
pd-1/pd-l1 expression,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pd-l1 biomarker,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pd-l1 expression,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pd-l1 status,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pd-l1 status exclusion,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pd-l1 testing,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pd-l1 tissue,PD-L1 Expression Status,4/5,🟢,Tumor Tissue/Biospecimen,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pet-ct timing,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
pet/ct staging,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
"pathologically proven non-operable stage iib or iii, node positive nsclc",Disease Stage,3/5,🟡,Disease Stage,Disease Stage,Surgical Resectability/Status,Disease Stage,Diagnosis Confirmation
performance status,Performance Status,5/5,🟢,Performance Status,Performance Status,Performance Status,Performance Status,Performance Status
pericardial effusion,Pleural/Pericardial Effusion,5/5,🟢,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion
platelet count,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
platelets,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
platinum allergy,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
platinum doublet contraindication,Treatment Contraindications,5/5,🟢,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications
platinum doublet cycles,Prior Chemotherapy,5/5,🟢,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy
platinum doublet progression,Disease Progression,5/5,🟢,Disease Progression,Disease Progression,Disease Progression,Disease Progression,Disease Progression
platinum-based chemotherapy contraindication,Treatment Contraindications,5/5,🟢,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications
pleural fluid cytology if effusion visible on ct and x-ray,Pleural/Pericardial Effusion,4/5,🟢,Tumor Tissue/Biospecimen,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion
pneumonitis,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
pneumonitis history,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
pneumonitis/ild,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
positive microscopic margins,Residual Disease,3/5,🟡,Residual Disease,Residual Disease,Surgical Resectability/Status,Surgical Resectability/Status,Residual Disease
post-op chest ct,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
post-op recurrence,Disease Recurrence,5/5,🟢,Disease Recurrence,Disease Recurrence,Disease Recurrence,Disease Recurrence,Disease Recurrence
pre-op fdg-pet/ct,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
pre-op chest ct/mri,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
pre-op imaging coverage,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
pre-op mediastinal staging,Mediastinal/Lymph Node Staging,5/5,🟢,Mediastinal/Lymph Node Staging,Mediastinal/Lymph Node Staging,Mediastinal/Lymph Node Staging,Mediastinal/Lymph Node Staging,Mediastinal/Lymph Node Staging
pre-surgical plasma sample,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
pregnancy or unwillingness to discontinue nursing,Pregnancy/Lactation Status,5/5,🟢,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status
pregnancy status,Pregnancy/Lactation Status,5/5,🟢,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status
pregnancy test,Pregnancy/Lactation Status,5/5,🟢,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status
pregnancy/breastfeeding status,Pregnancy/Lactation Status,5/5,🟢,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status
pregnancy/lactation status,Pregnancy/Lactation Status,5/5,🟢,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status
previous malignancies,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
primary immunodeficiency,Immunosuppression/Immunodeficiency,5/5,🟢,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency
primary tumor site,Primary Tumor Characteristics,5/5,🟢,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics
primary tumor size ≤7 cm,Primary Tumor Characteristics,5/5,🟢,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics
prior nsclc therapy,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
prior parp inhibitor,Prior Targeted Therapy,3/5,🟡,Prior Targeted Therapy,Specific Prior Treatment Agents,Prior Targeted Therapy,Prior Targeted Therapy,Specific Prior Treatment Agents
prior pd-1/pd-l1 treatment,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior stage iii therapy,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
prior tki/crizotinib treatment,Prior Targeted Therapy,5/5,🟢,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy
prior adjuvant therapy,Adjuvant/Neoadjuvant Therapy,5/5,🟢,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy
prior anti-pd-1/pd-l1,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior anti-pd-1/pd-l1 therapy,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior anti-tigit therapy,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior anti-vegf therapy,Prior Anti-VEGF Therapy,5/5,🟢,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy
prior anti-cancer therapy lines,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
prior bevacizumab plus platinum doublet treatment,Prior Anti-VEGF Therapy,5/5,🟢,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy
prior checkpoint inhibitor,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior checkpoint inhibitor use,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior checkpoint therapy,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior chemoradiation,Prior Chemoradiation,5/5,🟢,Prior Chemoradiation,Prior Chemoradiation,Prior Chemoradiation,Prior Chemoradiation,Prior Chemoradiation
prior high-dose chemotherapy,Prior Chemotherapy,5/5,🟢,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy
prior immune-mediated therapy,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior immunotherapy,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior lung radiation,Prior Radiotherapy,5/5,🟢,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
prior neoadjuvant therapy,Adjuvant/Neoadjuvant Therapy,5/5,🟢,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy
prior or concurrent malignancy not interfering with trial,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
prior platinum-based therapy,Prior Chemotherapy,5/5,🟢,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy
prior radiotherapy to the study cancer,Prior Radiotherapy,5/5,🟢,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
prior sorafenib treatment,Prior Targeted Therapy,3/5,🟡,Prior Targeted Therapy,Specific Prior Treatment Agents,Prior Targeted Therapy,Prior Targeted Therapy,Specific Prior Treatment Agents
prior systemic therapy,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
prior systemic therapy for current cancer,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
prior systemic treatment,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
prior systemic treatment history,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
prior targeted therapy for sensitizing mutation,Prior Targeted Therapy,5/5,🟢,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy
prior therapy,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
prior therapy lines,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
prior thoracic radiotherapy,Prior Radiotherapy,5/5,🟢,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
prior trastuzumab treatment,Specific Prior Treatment Agents,3/5,🟡,Specific Prior Treatment Agents,Specific Prior Treatment Agents,Prior Targeted Therapy,Prior Targeted Therapy,Specific Prior Treatment Agents
prior treatment,Prior Systemic Therapy,5/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
progression during crt,Disease Progression,5/5,🟢,Disease Progression,Disease Progression,Disease Progression,Disease Progression,Disease Progression
proteinuria,Proteinuria,5/5,🟢,Proteinuria,Proteinuria,Proteinuria,Proteinuria,Proteinuria
psychotropic drug or alcohol abuse,Neurological/Psychiatric Conditions,4/5,🟢,Neurological/Psychiatric Conditions,Study Compliance,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions
pulmonary conditions,Pulmonary Function,5/5,🟢,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function
pulmonary fibrosis/pneumonitis,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
pulmonary function,Pulmonary Function,5/5,🟢,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function
pulmonary interstitial fibrosis,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
recist 1.1 evaluable disease by ct scan,Measurable Disease,5/5,🟢,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease
recist evaluable lesions,Measurable Disease,5/5,🟢,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease
recist v1.1 measurable disease,Measurable Disease,5/5,🟢,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease
ros1 rearrangement,ROS1 Rearrangement Status,5/5,🟢,ROS1 Rearrangement Status,ROS1 Rearrangement Status,ROS1 Rearrangement Status,ROS1 Rearrangement Status,ROS1 Rearrangement Status
radiation dose,Prior Radiotherapy,5/5,🟢,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
radiation therapy,Prior Radiotherapy,5/5,🟢,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
re-resection status,Surgical Resectability/Status,5/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
recent biological response modifiers,Prior Immunotherapy/Checkpoint Inhibitors,2/5,🔴,Washout Period,Prior Immunotherapy/Checkpoint Inhibitors,Immunosuppression/Immunodeficiency,Prior Systemic Therapy,Prior Immunotherapy/Checkpoint Inhibitors
recent bleeding events,Bleeding/Coagulation Disorders,5/5,🟢,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders
recent drug therapy,Prior Systemic Therapy,3/5,🟡,Washout Period,Recent Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
recent investigational treatment,Investigational Study Participation,3/5,🟡,Washout Period,Investigational Study Participation,Prior Systemic Therapy,Investigational Study Participation,Investigational Study Participation
recent radiotherapy,Prior Radiotherapy,4/5,🟢,Washout Period,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
recent surgery,Prior Surgery,5/5,🟢,Prior Surgery,Prior Surgery,Prior Surgery,Prior Surgery,Prior Surgery
recent systemic therapy,Prior Systemic Therapy,3/5,🟡,Washout Period,Recent Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
recurrent or refractory nsclc,Advanced/Refractory Disease,5/5,🟢,Advanced/Refractory Disease,Advanced/Refractory Disease,Advanced/Refractory Disease,Advanced/Refractory Disease,Advanced/Refractory Disease
renal function,Renal Function,5/5,🟢,Renal Function,Renal Function,Renal Function,Renal Function,Renal Function
resection type,Surgical Resectability/Status,4/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Prior Surgery,Surgical Resectability/Status,Surgical Resectability/Status
residency and ancestry,Residency/Demographics,5/5,🟢,Residency/Demographics,Residency/Demographics,Residency/Demographics,Residency/Demographics,Residency/Demographics
stk11 mutation,KRAS/STK11/KEAP1 Mutation Status,5/5,🟢,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status
second malignancy history,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
second-line therapy refusal,Treatment Amenability,4/5,🟢,Study Compliance,Treatment Amenability,Treatment Amenability,Treatment Amenability,Treatment Amenability
seizure disorder,Neurological/Psychiatric Conditions,5/5,🟢,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions
sensitizing egfr mutation,EGFR Mutation Status,5/5,🟢,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status
